cfg_J_lanes,cfg_Ks_max,cfg_W_slots,cfg_theta_3db_deg,compare_ok,gap_K_abs,gap_K_pct,gap_mean_load_abs,gap_peak_load_abs,gap_used_sats_abs,heur_K,heur_U_max,heur_U_mean,heur_beam_r_mean,heur_ent_edge_pct,heur_ent_risk,heur_error,heur_payload_K_max,heur_payload_K_over_sum,heur_payload_T_max,heur_payload_T_over_sum,heur_payload_feasible,heur_payload_n_viol_K,heur_payload_n_viol_T,heur_time_ab_A0_s,heur_time_ab_A1_s,heur_time_ab_A2_s,heur_time_ab_A3_s,heur_time_assoc_s,heur_time_baseline_bkmeans_s,heur_time_baseline_tgbp_s,heur_time_baseline_with_qos_s,heur_time_baseline_without_qos_s,heur_time_ent_ref_s,heur_time_lb_ref_s,heur_time_sat_select_s,heur_time_split_s,heur_time_sys_balanced_max_elev_s,heur_time_sys_max_service_time_s,heur_time_sys_pure_max_elev_s,heur_time_usergen_s,heur_used_sats,heur_wall_s,milp_K,milp_active_beam_ids,milp_beam_time_load_max,milp_beam_time_load_mean,milp_best_bound,milp_diag_avg_feasible_beams_per_user,milp_diag_avg_users_per_candidate_beam,milp_diag_max_users_per_candidate_beam,milp_diag_median_feasible_beams_per_user,milp_diag_median_users_per_candidate_beam,milp_diag_min_feasible_beams_per_user,milp_diag_n_candidates,milp_diag_n_users,milp_error,milp_feasible,milp_grid_spacing_m,milp_mip_gap,milp_n_active_beams,milp_n_candidate_sats,milp_n_candidates,milp_n_grid_centers,milp_objective,milp_objective_mode,milp_optimal,milp_sat_beam_count_max,milp_sat_beam_count_mean,milp_sat_time_load_max,milp_sat_time_load_mean,milp_solve_time_s,milp_status,milp_time_limit_s,milp_used_sat_indices,milp_used_sats,milp_wall_s,n_users,region_mode,runtime_ratio_heur_over_milp,seed,study
4.0,96,6,1.0,1,5.0,16.666666666666668,-0.04426671277637215,-0.38073444515482435,0.0,35,0.6695316179616767,0.20626520381322969,14.677753329174356,33.333333333333336,0.022149493738318097,,35,0.0,7.2192821334630395,0.0,True,0,0,0.02673530000174651,0.022444300000643125,0.044290000001637964,0.04302109999844106,0.00033400000029359944,nan,nan,0.04521859999658773,0.058237999997800216,0.014139899998554029,0.007521100000303704,15.846798099999432,0.019351700000697747,0.04302109999844106,0.05469040000025416,0.03998679999858723,0.0019076000025961548,1,16.300425900000846,30,4 13 23 26 33 41 50 52 54 55 58 70 72 82 84 86 92 98 99 102 111 130 139 158 166 177 185 204 208 213,1.050266063116501,0.25053191658960183,15919.0,417.05,2.6249370594159114,17.0,429.0,2.0,250.0,15888.0,100.0,,1,10000.0,0.0,30,150,15888,8640,15919.0,weighted_sat_beam,1,30,30.0,7.5159574976880545,7.5159574976880545,5.340718499999639,OPTIMAL,300.0,0,1,164.89164700000038,100,turkey,0.09885537682815922,1,grid_sensitivity
4.0,96,6,1.0,1,6.0,18.75,-0.0375587255012117,-0.7361744863405648,0.0,38,0.47924251475117674,0.1539539603501402,13.76980731222328,0.0,0.0,,38,0.0,5.850250493305327,0.0,True,0,0,0.03013209999699029,0.02612809999845922,0.02376170000206912,0.05442890000267653,0.00033230000190087594,nan,nan,0.04460509999989881,0.044522399999550544,0.0023543000024801586,0.016640199995890725,15.888266300000396,0.021192799998971168,0.05442890000267653,0.05195810000077472,0.0341219000001729,0.0019785000004048925,1,16.307407299998886,32,9 12 15 38 44 57 60 73 80 82 84 89 93 100 102 109 115 119 126 131 135 136 144 146 148 161 174 180 186 197 209 213,1.2154170010917416,0.1915126858513519,14999.0,396.21,2.6474007750902047,16.0,429.0,2.0,199.0,14966.0,100.0,,1,10000.0,0.0,32,150,14966,7280,14999.0,weighted_sat_beam,1,32,32.0,6.12840594724326,6.12840594724326,3.869473200000357,OPTIMAL,300.0,0,1,141.47630729999946,100,turkey,0.11526599478893063,2,grid_sensitivity
4.0,96,6,1.0,1,7.0,17.94871794871795,-0.03614102084608331,-0.41814130847565695,0.0,46,0.483233502258741,0.13515880700206823,13.329082398366683,7.6923076923076925,0.0011872848481308523,,46,0.0,6.217305122095139,0.0,True,0,0,0.024558799999795156,0.02409049999914714,0.034899999998742715,0.04108249999990221,0.0003510000024107285,nan,nan,0.06381289999990258,0.05441259999861359,0.0033781000020098872,0.005050199997640448,16.1001299999989,0.035746699999435805,0.04108249999990221,0.04526590000023134,0.04415270000026794,0.0019199999987904448,1,16.584067799998593,39,1 20 33 39 45 58 67 79 87 107 111 116 129 131 142 144 146 152 157 165 166 168 170 182 184 186 190 195 200 201 204 207 208 213 218 223 236 251 255,0.901374810734398,0.17129982784815154,17629.0,406.32,2.3100801637387005,15.0,416.5,2.0,180.0,17589.0,100.0,,1,10000.0,0.0,39,150,17589,6477,17629.0,weighted_sat_beam,1,39,39.0,6.680693286077911,6.680693286077911,5.3808525999993435,OPTIMAL,300.0,0,1,130.5928316999998,100,turkey,0.12699064400483948,3,grid_sensitivity
4.0,96,6,1.0,1,6.0,18.181818181818183,-0.07914670672865823,-0.12543667636989408,-1.0,39,0.5372122238403726,0.10583216496927239,13.32866837727122,0.0,0.0,,39,0.0,4.127454433801623,0.0,True,0,0,0.02002859999993234,0.020834900002228096,0.024460100001306273,0.04077060000054189,0.000343700001394609,nan,nan,0.04435310000189929,0.05022260000259848,0.008782699995208532,0.01044710000132909,15.980365999999776,0.022593700003199046,0.04077060000054189,0.029241399999591522,0.0409734999993816,0.0021124000013514888,1,16.377841599998646,33,3 15 20 22 36 90 150 172 183 187 224 235 273 292 295 321 324 341 358 362 366 385 402 406 415 461 465 476 481 484 491 493 495,0.6626489002102667,0.18497887169793062,36833.0,392.97,2.1358225990542965,12.0,401.5,1.0,226.0,18399.0,100.0,,1,10000.0,0.0,33,150,18399,9006,36833.0,weighted_sat_beam,1,21,16.5,3.649623842442487,3.0521513830158558,5.0212406999999075,OPTIMAL,300.0,0 1,2,169.57152479999786,100,turkey,0.09658367829926391,4,grid_sensitivity
4.0,96,6,1.0,1,10.0,37.03703703703704,-0.07954440251059663,-0.2722895744765783,0.0,37,0.5290870254073868,0.16639090002877346,14.458502785320594,10.0,0.000993407341236521,,37,0.0,6.156463301064618,0.0,True,0,0,0.019390299999940908,0.019956899999669986,0.02652930000112974,0.03682499999922584,0.0005209000009926967,nan,nan,0.055034999997587875,0.04853010000078939,0.006710699999530334,0.012717600002360996,16.07895560000179,0.030058000000281027,0.03682499999922584,0.038959800000156974,0.044742199999745935,0.0021083999999973457,1,16.523399699999572,27,4 7 20 23 33 43 54 71 73 76 79 96 101 115 118 133 135 138 152 161 172 179 184 205 209 212 214,0.8013765998839651,0.2459353025393701,13548.0,376.91,2.787795857988166,26.0,387.0,2.0,201.0,13520.0,100.0,,1,10000.0,0.0,27,150,13520,9310,13548.0,weighted_sat_beam,1,27,27.0,6.640253168562993,6.640253168562993,3.9472557000008237,OPTIMAL,300.0,0,1,173.73935150000034,100,turkey,0.09510453191716639,5,grid_sensitivity
4.0,96,6,1.0,1,7.0,17.5,-0.06373385438736368,-0.46388479950341455,0.0,47,0.9899846368710887,0.2739115079049588,14.167223802963944,9.090909090909092,0.009363454026767562,,47,0.0,12.873840871533062,0.0,True,0,0,0.0268316000001505,0.02682759999879636,0.042047200000524754,0.06769599999825004,0.0003934999986086041,nan,nan,0.07401449999815668,0.06596680000075139,0.01314510000156588,0.013700600000447594,16.265462799998204,0.02921539999806555,0.06769599999825004,0.06689010000263806,0.05691289999958826,0.0026144000003114343,1,16.87439599999925,40,6 8 18 24 29 31 51 55 58 63 67 77 82 87 91 98 99 104 110 112 115 116 122 127 134 135 140 157 171 199 202 208 212 238 259 264 267 272 293 308,1.4538694363745033,0.33764536229232245,20784.0,421.36,4.062671744684954,33.0,432.0,2.0,251.0,20743.0,200.0,,1,10000.0,0.0,40,150,20743,8760,20784.0,weighted_sat_beam,1,40,40.0,13.505814491692902,13.505814491692902,14.923066300001665,OPTIMAL,300.0,0,1,209.54928819999986,200,turkey,0.08052709768163871,1,grid_sensitivity
4.0,96,6,1.0,1,10.0,21.27659574468085,-0.06961540962606427,-0.5999409021801312,0.0,57,0.6106383250232064,0.22097277956671524,13.34112639075263,0.0,0.0,,57,0.0,12.59544843530277,0.0,True,0,0,0.03130370000144467,0.029666900001757313,0.047567999998136656,0.06814020000092569,0.0003896999987773597,nan,nan,0.07811249999940628,0.07918549999885727,0.011580700000195066,0.018033699998341035,16.316485399998783,0.0314555000004475,0.06814020000092569,0.062336999999388354,0.0678686999999627,0.002640800001245225,1,16.975940500000434,47,11 22 26 33 39 47 55 61 71 85 100 102 104 107 116 121 123 129 133 138 142 145 148 152 160 164 171 177 179 180 189 198 200 201 204 212 214 216 219 221 231 237 248 259 261 271 284,1.2105792272033375,0.2905881891927795,20261.0,406.445,4.021619749666057,30.0,431.5,2.0,225.0,20213.0,200.0,,1,10000.0,0.0,47,150,20213,7524,20261.0,weighted_sat_beam,1,47,47.0,13.657644892060636,13.657644892060636,16.939508499999647,OPTIMAL,300.0,0,1,185.5739758000018,200,turkey,0.09147802339642641,2,grid_sensitivity
4.0,96,6,1.0,1,14.0,29.166666666666668,-0.06965477099291928,-0.18911165587250078,0.0,62,0.6629188300844064,0.17434502054891488,13.502416542169035,6.25,0.005606550333018204,,62,0.0,10.809391274032722,0.0,True,0,0,0.02945499999987078,0.033750300000974676,0.045538499998656334,0.0613456999999471,0.0004315000005590264,nan,nan,0.07910370000172406,0.07729060000201571,0.012005000000499422,0.015689100000599865,16.21598670000094,0.03525509999963106,0.0613456999999471,0.05802599999879021,0.046750699999392964,0.00293489999967278,1,16.821860500000184,48,14 17 24 36 47 60 70 72 74 86 104 112 116 133 137 144 164 173 176 177 179 182 185 192 195 197 210 213 222 224 232 234 236 240 245 250 253 257 259 263 265 270 277 285 290 309 311 324,0.8520304859569072,0.24399979154183415,21812.0,407.96,3.7491154712126087,28.0,414.0,2.0,255.0,21763.0,200.0,,1,10000.0,0.0,48,150,21763,6837,21812.0,weighted_sat_beam,1,48,48.0,11.711989994008034,11.711989994008034,17.054887999998755,OPTIMAL,300.0,0,1,186.8613695999993,200,turkey,0.09002321098260989,3,grid_sensitivity
4.0,96,6,1.0,1,13.0,25.0,-0.13132957069694418,-0.6849972555203068,-1.0,65,0.4356176139465137,0.1365973925202168,13.556433699867227,0.0,0.0,,65,0.0,8.878830513814092,0.0,True,0,0,0.02746859999751905,0.025875600000290433,0.03456449999794131,0.04960849999770289,0.00041169999894918874,nan,nan,0.07027799999923445,0.07396329999755835,0.012017199998808792,0.010115299999597482,15.77018440000029,0.026776800001243828,0.04960849999770289,0.05102389999956358,0.049634700000751764,0.0032369000000471715,1,16.298043800001324,52,1 18 20 23 36 49 55 62 67 68 88 94 174 217 249 275 279 283 322 325 332 354 363 369 375 414 428 447 458 463 481 503 507 527 535 556 561 566 569 579 601 609 616 707 725 738 741 746 749 754 755 760,1.1206148694668205,0.267926963217161,57022.0,393.335,2.761796096053925,27.0,405.0,2.0,228.0,28484.0,200.0,,1,10000.0,0.0,52,150,28484,9396,57022.0,weighted_sat_beam,1,26,26.0,8.805135715962413,6.966101043646187,20.398163099998783,OPTIMAL,300.0,0 1,2,249.21402470000248,200,turkey,0.06539777935700246,4,grid_sensitivity
4.0,96,6,1.0,1,15.0,36.58536585365854,-0.098456272084605,-1.0083116351188948,0.0,56,0.7929202763127147,0.21857285563956458,14.333417974566625,14.285714285714286,0.015568985118421043,,56,0.0,12.240079915815617,0.0,True,0,0,0.029591300000902265,0.030014399999345187,0.05239129999972647,0.08034639999823412,0.0006228999991435558,nan,nan,0.07465600000068662,0.07220789999701083,0.02950280000004568,0.00954700000147568,16.88172040000063,0.038865399998030625,0.08034639999823412,0.0801337999982934,0.0791800000006333,0.0027216999988013413,1,17.5944539000011,41,2 12 19 28 31 41 51 58 63 66 80 84 87 101 102 106 113 120 135 137 139 149 152 165 170 173 180 184 191 193 198 205 221 235 238 241 254 257 267 275 282,1.8012319114316093,0.3170291277241696,18335.0,381.97,4.176132947028918,38.0,391.5,2.0,203.0,18293.0,200.0,,1,10000.0,0.0,41,150,18293,9730,18335.0,weighted_sat_beam,1,41,41.0,12.998194236690951,12.998194236690951,25.110553999998956,OPTIMAL,300.0,0,1,259.41599380000116,200,turkey,0.06782331976634287,5,grid_sensitivity
4.0,96,6,1.0,1,15.0,29.41176470588235,-0.11715109501370019,-0.6521299635598385,0.0,66,1.1217903702581704,0.31228129283291306,14.723387902830957,16.216216216216218,0.032558612731415526,,66,0.0,20.61056532697226,0.0,True,0,0,0.03645490000053542,0.027743399998144014,0.07360659999903874,0.09598360000018147,0.0004315000005590264,nan,nan,0.07663949999914621,0.10077839999939897,0.05793869999979506,0.01134729999830597,16.99956150000071,0.035814200000459095,0.09598360000018147,0.10714250000091852,0.10553950000030454,0.003719499996805098,1,17.894963099999586,51,6 11 15 22 29 32 38 42 61 64 67 72 76 78 96 98 101 114 116 118 128 130 133 134 136 139 144 147 151 157 162 185 193 200 211 245 249 253 259 271 296 299 315 329 335 361 369 372 378 405 428,1.773920333818009,0.42943238784661325,26344.0,418.2966666666667,4.772896698615549,49.0,429.0,3.0,282.0,26292.0,300.0,,1,10000.0,0.0,51,150,26292,9261,26344.0,weighted_sat_beam,1,51,51.0,21.90105178017727,21.90105178017727,46.838093400001526,OPTIMAL,300.0,0,1,298.0021084,300,turkey,0.060049786882647394,1,grid_sensitivity
4.0,96,6,1.0,1,16.0,31.372549019607842,-0.09478879513911298,-0.7047910476790683,0.0,67,0.6590507402869882,0.23635901317515756,13.314985708480437,8.823529411764707,0.050860806482492846,,67,0.0,15.836053882735557,0.0,True,0,0,0.03928019999875687,0.04145690000223112,0.06888670000262209,0.13501289999840083,0.00045260000115376897,nan,nan,0.09422389999963343,0.09568490000310703,0.029957200000353623,0.06855329999962123,16.987627700000303,0.037817899999936344,0.13501289999840083,0.13849580000169226,0.13216169999941485,0.004451400000107242,1,18.02851140000348,51,11 14 33 42 49 56 59 82 86 88 89 95 117 119 125 132 137 140 145 147 149 152 163 165 174 176 184 189 192 193 198 203 215 217 221 227 229 230 232 242 243 245 247 254 277 284 290 297 305 318 333,1.3638417879660565,0.33114780831427054,22707.0,405.82666666666665,5.374001324210991,47.0,430.0,3.0,203.0,22655.0,300.0,,1,10000.0,0.0,51,150,22655,7336,22707.0,weighted_sat_beam,1,51,51.0,16.888538224027798,16.888538224027798,47.1951029999982,OPTIMAL,300.0,0,1,259.37902419999955,300,turkey,0.06950643543983043,2,grid_sensitivity
4.0,96,6,1.0,1,14.0,24.137931034482758,-0.08551771666319391,-0.22875702232232076,0.0,72,1.2414668770288673,0.25819888927305196,13.444466752183974,10.344827586206897,0.013062285476781075,,72,0.0,18.59032002765974,0.0,True,0,0,0.04102780000175699,0.04069159999926342,0.07022389999838197,0.09190180000223336,0.0004225000011501834,nan,nan,0.10492639999938547,0.10949020000043674,0.02487910000127158,0.019237999997130828,16.036013700002513,0.03829140000016196,0.09190180000223336,0.0871757000022626,0.0836593999993056,0.0040136000025086105,1,16.884475800001383,58,10 18 32 44 46 54 57 62 64 72 95 100 105 108 111 124 133 136 168 174 180 187 192 195 199 203 207 211 218 223 227 232 240 242 249 253 255 256 257 260 264 266 269 271 272 278 286 288 291 295 300 303 320 329 341 344 352 357,1.470223899351188,0.34371660593624587,24531.0,412.73333333333335,5.059660019614253,37.0,418.0,3.0,224.0,24472.0,300.0,,1,10000.0,0.0,58,150,24472,6912,24531.0,weighted_sat_beam,1,58,58.0,19.93556314430227,19.93556314430227,43.22902940000131,OPTIMAL,300.0,0,1,239.30904630000077,300,turkey,0.07055510880618694,3,grid_sensitivity
4.0,96,6,1.0,1,28.0,47.45762711864407,-0.21360637839426028,-0.33702167672318906,-1.0,87,0.9752837942041981,0.19641877843827743,13.711731278939897,8.0,0.011027959842111376,,87,0.0,17.088433724130137,0.0,True,0,0,0.045312800000829156,0.04533949999677134,0.07949269999880926,0.09546380000028876,0.0004214000000501983,nan,nan,0.258531800001947,0.2506154000002425,0.04622700000254554,0.0011684999990393408,16.82656720000159,0.0461245999977109,0.09546380000028876,0.09736999999950058,0.09546679999766639,0.004278399999748217,1,18.065870699996594,59,4 17 21 40 45 56 62 84 87 90 94 112 119 126 136 207 231 263 284 287 302 317 342 362 368 374 377 405 415 445 447 458 475 486 501 527 557 559 577 590 593 627 632 649 665 680 685 690 697 717 741 862 876 878 881 890 894 901 903,1.3123054709273871,0.4100251568325377,68551.0,398.25,3.488830486202365,35.0,406.0,2.0,175.0,34245.0,300.0,,1,10000.0,0.0,59,150,34245,9882,68551.0,weighted_sat_beam,1,35,29.5,12.424974980078813,12.095742126559863,37.58784369999921,OPTIMAL,300.0,0 1,2,308.81800600000133,300,turkey,0.05850005617870778,4,grid_sensitivity
4.0,96,6,1.0,1,17.0,32.69230769230769,-0.11656813675014188,-1.409405293488045,0.0,69,0.8540343588515876,0.2806666861485731,14.4685497144585,10.81081081081081,0.0880991419211028,,69,0.0,19.366001344251544,0.0,True,0,0,0.04261910000059288,0.039146299997810274,0.06777929999952903,0.10365830000228016,0.0004201000010652933,nan,nan,0.09220030000142287,0.10357859999930952,0.025328699997771764,0.03579899999749614,17.645858100000623,0.0374169000024267,0.10365830000228016,0.1007409000012558,0.11249400000087917,0.0038870999997016042,1,18.541893999998138,52,0 15 18 23 36 39 50 53 57 62 83 95 97 99 106 111 114 127 132 134 137 141 154 156 161 176 180 184 200 206 215 217 219 227 230 232 241 247 252 257 261 281 284 288 304 307 314 328 333 337 347 357,2.2634396523396325,0.397234822898715,22856.0,382.49666666666667,5.032188747094681,66.0,391.5,3.0,227.0,22803.0,300.0,,1,10000.0,0.0,52,150,22803,9870,22856.0,weighted_sat_beam,1,52,52.0,20.656210790733184,20.656210790733184,44.23644019999847,OPTIMAL,300.0,0,1,301.15163080000275,300,turkey,0.06156996045726865,5,grid_sensitivity
4.0,96,6,1.0,1,3.0,9.375,-0.02767163616217766,-0.40870777383231716,0.0,35,0.6695316179616767,0.20626520381322969,14.677753329174356,33.333333333333336,0.022149493738318097,,35,0.0,7.2192821334630395,0.0,True,0,0,0.028108400001656264,0.01943079999909969,0.03327270000227145,0.0438164000006509,0.0005973999977868516,nan,nan,0.042693299998063594,0.04733219999980065,0.01569779999772436,0.0037262999976519495,15.519232800001191,0.022421600002417108,0.0438164000006509,0.05190089999814518,0.04114789999948698,0.0019474000000627711,1,15.955537300000287,32,0 4 6 10 12 17 21 24 27 28 29 31 33 35 36 40 41 43 45 46 48 55 61 68 72 76 82 88 95 97 102 104,1.0782393917939939,0.23393683997540735,7322.0,188.62,2.587734943064892,18.0,190.5,2.0,97.0,7289.0,100.0,,1,15000.0,0.0,32,150,7289,3840,7322.0,weighted_sat_beam,1,32,32.0,7.485978879213034,7.485978879213034,1.7939888999972027,OPTIMAL,300.0,0,1,87.18069399999877,100,turkey,0.18301686494948655,1,grid_sensitivity
4.0,96,6,1.0,1,4.0,11.764705882352942,-0.025888631791269073,-0.37416675063325355,0.0,38,0.47924251475117674,0.1539539603501402,13.76980731222328,0.0,0.0,,38,0.0,5.850250493305327,0.0,True,0,0,0.01783140000043204,0.01924189999772352,0.02526450000004843,0.04987030000120285,0.0003857000010611955,nan,nan,0.06127500000002328,0.04992060000222409,0.008215099998778896,0.0144367000029888,16.858451300002343,0.01997059999848716,0.04987030000120285,0.04830170000059297,0.04260450000219862,0.002027700000326149,1,17.293038100000558,34,1 5 9 12 16 24 26 31 36 37 39 40 41 42 43 45 46 50 51 56 58 59 60 61 63 65 66 73 76 78 81 86 89 90,0.8534092653844303,0.17984259214140927,6946.0,178.95,2.589350311098249,14.0,183.5,2.0,116.0,6911.0,100.0,,1,15000.0,0.0,34,150,6911,3306,6946.0,weighted_sat_beam,1,34,34.0,6.114648132807915,6.114648132807915,1.315234199999395,OPTIMAL,300.0,0,1,75.69223969999803,100,turkey,0.2284651394719003,2,grid_sensitivity
4.0,96,6,1.0,1,0.0,0.0,-0.007897055311025608,-0.29435273076517593,0.0,46,0.483233502258741,0.13515880700206823,13.329082398366683,7.6923076923076925,0.0011872848481308523,,46,0.0,6.217305122095139,0.0,True,0,0,0.024069600000075297,0.024200400002882816,0.03412769999704324,0.04871580000326503,0.0003830999994534068,nan,nan,0.06639159999758704,0.06113729999924544,0.011388000002625631,0.009017999997013249,16.77467180000167,0.030510399999911897,0.04871580000326503,0.03988680000111344,0.049687700000504265,0.002205999997386243,1,17.276218200000585,46,1 15 17 19 21 25 28 35 37 41 44 52 56 57 58 59 60 65 66 69 70 71 73 76 79 81 84 85 87 89 90 91 92 93 95 96 98 100 101 104 105 110 114 117 120 123,0.7775862330239169,0.14305586231309383,8117.0,184.58,2.2872366790582404,12.0,184.0,2.0,105.0,8070.0,100.0,,1,15000.0,0.0,46,150,8070,2975,8117.0,weighted_sat_beam,1,46,46.0,6.580569666402316,6.580569666402316,1.813699700000143,OPTIMAL,300.0,0,1,70.74288220000017,100,turkey,0.24421139855679422,3,grid_sensitivity
4.0,96,6,1.0,1,3.0,8.333333333333334,-0.05435626642463312,-0.22590424136170217,-1.0,39,0.5372122238403726,0.10583216496927239,13.32866837727122,0.0,0.0,,39,0.0,4.127454433801623,0.0,True,0,0,0.022545899999386165,0.02125729999897885,0.020518000001175096,0.037012299999332754,0.00045339999996940605,nan,nan,0.05563350000011269,0.05280599999969127,0.004506100001890445,0.008733399998163804,16.405039600002056,0.02719699999943259,0.037012299999332754,0.033263900000747526,0.038060900002165,0.0023665000007895287,1,16.814905100000033,36,2 5 9 12 15 16 38 75 77 86 92 98 102 120 123 130 139 141 152 162 165 167 176 177 182 186 188 206 208 216 218 219 220 221 223 225,0.7631164652020748,0.1601884313939055,16328.0,175.62,2.1561694290976057,12.0,177.0,2.0,89.0,8145.0,100.0,,1,15000.0,0.0,36,150,8145,3990,16328.0,weighted_sat_beam,1,23,18.0,3.6626322076974236,2.883391765090299,1.916478900002403,OPTIMAL,300.0,0 1,2,91.2973490000004,100,turkey,0.18417736422992917,4,grid_sensitivity
4.0,96,6,1.0,1,5.0,15.625,-0.040165133514829365,-0.35374676020055174,0.0,37,0.5290870254073868,0.16639090002877346,14.458502785320594,10.0,0.000993407341236521,,37,0.0,6.156463301064618,0.0,True,0,0,0.02322970000022906,0.023680400001467206,0.034597100002429215,0.04063560000213329,0.0007702000002609566,nan,nan,0.040895599999203114,0.0502691000001505,0.008186900002328912,0.006928499999048654,16.41085490000114,0.018421299999317853,0.04063560000213329,0.04070119999960298,0.0389735999997356,0.0018664000017452054,1,16.807143600002746,32,1 2 7 9 15 19 24 27 31 36 40 41 44 46 48 50 57 58 60 62 63 67 73 74 75 78 81 86 87 91 94 98,0.8828337856079386,0.20655603354360283,6358.0,170.33,2.69296442687747,24.0,172.0,2.0,108.0,6325.0,100.0,,1,15000.0,0.0,32,150,6325,4183,6358.0,weighted_sat_beam,1,32,32.0,6.6097930733952905,6.6097930733952905,1.3499517000018386,OPTIMAL,300.0,0,1,91.90254089999871,100,turkey,0.18288007529945216,5,grid_sensitivity
4.0,96,6,1.0,1,1.0,2.1739130434782608,-0.027059775432886624,-0.6051648977389055,0.0,47,0.9899846368710887,0.2739115079049588,14.167223802963944,9.090909090909092,0.009363454026767562,,47,0.0,12.873840871533062,0.0,True,0,0,0.03730809999979101,0.029562399999122135,0.04119830000126967,0.055058800000551855,0.0003862999983539339,nan,nan,0.06555769999977201,0.060483599998406135,0.026636999999027466,0.013274299999466166,15.369462300001032,0.01730120000138413,0.055058800000551855,0.0640977999973984,0.055465699999331264,0.005347800000890857,1,15.928221999998641,46,1 5 7 8 10 11 14 22 23 25 26 28 29 30 31 34 36 37 38 39 44 45 47 49 52 54 55 56 57 58 59 60 64 73 79 82 87 98 101 104 107 112 115 122 129 137,1.5951495346099942,0.3009712833378454,9180.0,187.735,4.111135442899376,32.0,189.0,2.0,87.0,9133.0,200.0,,1,15000.0,0.0,46,150,9133,3880,9180.0,weighted_sat_beam,1,46,46.0,13.844679033540887,13.844679033540887,6.154737999997451,OPTIMAL,300.0,0,1,108.96898169999986,200,turkey,0.14617207347913266,1,grid_sensitivity
4.0,96,6,1.0,1,5.0,9.615384615384615,-0.0328191796364925,-0.8187549918739003,0.0,57,0.6106383250232064,0.22097277956671524,13.34112639075263,0.0,0.0,,57,0.0,12.59544843530277,0.0,True,0,0,0.03316919999997481,0.0332003999974404,0.04376339999726042,0.05791809999936959,0.0003758999991987366,nan,nan,0.07299310000234982,0.0647927999998501,0.011455800002295291,0.01657559999875957,18.022985899999185,0.03068919999714126,0.05791809999936959,0.05844090000027791,0.058729399999720044,0.0027272999977867585,1,18.608531499998207,52,4 7 8 15 16 18 26 28 29 36 41 42 44 48 49 50 52 53 54 55 56 58 60 62 64 65 66 67 68 69 71 72 73 78 80 81 82 83 84 86 87 88 90 93 94 100 101 103 110 112 119 123,1.4293933168971067,0.25379195920320774,8868.0,181.945,4.1280771412365285,29.0,186.0,3.0,92.0,8815.0,200.0,,1,15000.0,0.0,52,150,8815,3344,8868.0,weighted_sat_beam,1,52,52.0,13.197181878566804,13.197181878566804,3.7923933000020043,OPTIMAL,300.0,0,1,94.22374800000034,200,turkey,0.19749300887498278,2,grid_sensitivity
