ok,tag,x_name,x_value,seed,n_users,Ks_max,payload.Ks_max,payload_feasible,K,U_mean,U_max,ent_edge_pct,best_m,ms_n_active,payload_n_viol_K,payload_n_viol_T,payload_K_over_sum,payload_T_over_sum,runtime_total_s,W_slots,payload.W_slots,demand_mbps_median,traffic.demand_mbps_median,demand_mbps_median_stress,elev_mask_deg,multisat.elev_mask_deg,hotspot_scale,usergen.hotspot_sigma_m_min,usergen.hotspot_sigma_m_max,rho_safe,ent.rho_safe,theta_3db_deg,beam.theta_3db_deg
1,one_factor:Ks_max,Ks_max,128.0,1,1000,128.0,128.0,1,356.0,0.14000565286347047,0.7075254339147444,12.62135922330097,3.0,3.0,0.0,0.0,0.0,0.0,17.101102599976002,,,,,,,,,,,,,,
1,one_factor:Ks_max,Ks_max,128.0,1,2000,128.0,128.0,1,577.0,0.16519634612866402,3.01942824441762,8.26086956521739,6.0,6.0,0.0,0.0,0.0,0.0,61.00627769999846,,,,,,,,,,,,,,
1,one_factor:Ks_max,Ks_max,128.0,1,3000,128.0,128.0,1,804.0,0.17546699226033516,1.7164733206552172,8.064516129032258,8.0,8.0,0.0,0.0,0.0,0.0,79.90625470002124,,,,,,,,,,,,,,
1,one_factor:Ks_max,Ks_max,64.0,1,1000,64.0,64.0,1,387.0,0.12190151552588367,0.8808308073106916,12.62135922330097,8.0,8.0,0.0,0.0,0.0,0.0,67.11794540002302,,,,,,,,,,,,,,
1,one_factor:Ks_max,Ks_max,64.0,1,2000,64.0,64.0,1,620.0,0.15093580230070047,1.322317936985583,10.0,14.0,14.0,0.0,0.0,0.0,0.0,200.47054819999903,,,,,,,,,,,,,,
1,one_factor:Ks_max,Ks_max,64.0,1,3000,64.0,64.0,1,859.0,0.1697239313762396,2.4820659296639747,11.290322580645162,17.0,17.0,0.0,0.0,0.0,0.0,461.767213900006,,,,,,,,,,,,,,
1,one_factor:Ks_max,Ks_max,96.0,1,1000,96.0,96.0,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,25.830777200011653,,,,,,,,,,,,,,
1,one_factor:Ks_max,Ks_max,96.0,1,2000,96.0,96.0,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,76.93422720000672,,,,,,,,,,,,,,
1,one_factor:Ks_max,Ks_max,96.0,1,3000,96.0,96.0,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,147.59684779998497,,,,,,,,,,,,,,
1,one_factor:W_slots,W_slots,4.0,1,1000,,,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,26.04898350001895,4.0,4.0,,,,,,,,,,,,
1,one_factor:W_slots,W_slots,4.0,1,2000,,,1,592.0,0.1575390593609792,1.5622273119724126,10.434782608695652,8.0,8.0,0.0,0.0,0.0,0.0,38.56277849999606,4.0,4.0,,,,,,,,,,,,
1,one_factor:W_slots,W_slots,4.0,1,3000,,,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,81.3038852000027,4.0,4.0,,,,,,,,,,,,
1,one_factor:W_slots,W_slots,6.0,1,1000,,,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,26.856863800014253,6.0,6.0,,,,,,,,,,,,
1,one_factor:W_slots,W_slots,6.0,1,2000,,,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,75.08738019998418,6.0,6.0,,,,,,,,,,,,
1,one_factor:W_slots,W_slots,6.0,1,3000,,,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,147.57152099999075,6.0,6.0,,,,,,,,,,,,
1,one_factor:W_slots,W_slots,8.0,1,1000,,,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,25.975000500009628,8.0,8.0,,,,,,,,,,,,
1,one_factor:W_slots,W_slots,8.0,1,2000,,,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,84.92271590000018,8.0,8.0,,,,,,,,,,,,
1,one_factor:W_slots,W_slots,8.0,1,3000,,,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,198.6659384000086,8.0,8.0,,,,,,,,,,,,
1,one_factor:demand_mbps_median,demand_mbps_median,10.0,1,1000,,,1,366.0,0.16154089098132704,3.0716340663342985,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,25.824606900001527,,,10.0,10.0,,,,,,,,,,
1,one_factor:demand_mbps_median,demand_mbps_median,10.0,1,2000,,,1,583.0,0.20399735865745927,1.5007439920367152,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,87.76376019998861,,,10.0,10.0,,,,,,,,,,
1,one_factor:demand_mbps_median,demand_mbps_median,10.0,1,3000,,,1,836.0,0.21507753255966383,1.5692377643628341,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,184.97673140002007,,,10.0,10.0,,,,,,,,,,
1,one_factor:demand_mbps_median,demand_mbps_median,6.0,1,1000,,,1,366.0,0.09692453458879623,1.8429804398005794,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,27.57324649998918,,,6.0,6.0,,,,,,,,,,
1,one_factor:demand_mbps_median,demand_mbps_median,6.0,1,2000,,,1,583.0,0.12239841519447556,0.9004463952220291,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,87.61442309996346,,,6.0,6.0,,,,,,,,,,
1,one_factor:demand_mbps_median,demand_mbps_median,6.0,1,3000,,,1,836.0,0.1290465195357983,0.9415426586177004,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,195.58925149998686,,,6.0,6.0,,,,,,,,,,
1,one_factor:demand_mbps_median,demand_mbps_median,8.0,1,1000,,,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,26.992365500031156,,,8.0,8.0,,,,,,,,,,
1,one_factor:demand_mbps_median,demand_mbps_median,8.0,1,2000,,,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,74.95788720001292,,,8.0,8.0,,,,,,,,,,
1,one_factor:demand_mbps_median,demand_mbps_median,8.0,1,3000,,,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,147.93749409998418,,,8.0,8.0,,,,,,,,,,
1,one_factor:demand_mbps_median_stress,demand_mbps_median_stress,12.0,1,1000,,,1,366.0,0.19384906917759245,3.6859608796011587,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,27.643712000004598,,,,12.0,12.0,,,,,,,,,
1,one_factor:demand_mbps_median_stress,demand_mbps_median_stress,12.0,1,2000,,,1,592.0,0.23630858904146884,2.343340967958619,10.434782608695652,8.0,8.0,0.0,0.0,0.0,0.0,52.20132940002077,,,,12.0,12.0,,,,,,,,,
1,one_factor:demand_mbps_median_stress,demand_mbps_median_stress,12.0,1,3000,,,1,836.0,0.25809303907159664,1.8830853172354005,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,109.6988911999797,,,,12.0,12.0,,,,,,,,,
1,one_factor:demand_mbps_median_stress,demand_mbps_median_stress,20.0,1,1000,,,1,367.0,0.32169492468402494,3.7039126857142755,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,34.36615099996561,,,,20.0,20.0,,,,,,,,,
1,one_factor:demand_mbps_median_stress,demand_mbps_median_stress,20.0,1,2000,,,1,619.0,0.3657881822593373,2.64290678230239,9.130434782608695,10.0,10.0,0.0,0.0,0.0,0.0,26.00632869997935,,,,20.0,20.0,,,,,,,,,
1,one_factor:demand_mbps_median_stress,demand_mbps_median_stress,20.0,1,3000,,,1,854.0,0.4205993947423995,4.008248390395753,8.709677419354838,16.0,16.0,0.0,0.0,0.0,0.0,67.72397569999157,,,,20.0,20.0,,,,,,,,,
1,one_factor:demand_mbps_median_stress,demand_mbps_median_stress,35.0,1,1000,,,1,400.0,0.48988485340434246,2.7201302129752016,11.650485436893204,10.0,10.0,0.0,0.0,0.0,0.0,27.10031059999892,,,,35.0,35.0,,,,,,,,,
1,one_factor:demand_mbps_median_stress,demand_mbps_median_stress,35.0,1,2000,,,1,670.0,0.6159433448187331,4.305357555408667,11.73913043478261,18.0,18.0,0.0,0.0,0.0,0.0,37.9571772000636,,,,35.0,35.0,,,,,,,,,
1,one_factor:demand_mbps_median_stress,demand_mbps_median_stress,35.0,1,3000,,,1,1028.0,0.6107767313001347,4.2495354781712935,13.548387096774194,28.0,28.0,0.0,0.0,0.0,0.0,54.06105399996159,,,,35.0,35.0,,,,,,,,,
1,one_factor:elev_mask_deg,elev_mask_deg,20.0,1,1000,,,1,372.0,0.12734791297194942,1.4527663537725346,11.650485436893204,6.0,6.0,0.0,0.0,0.0,0.0,28.753326100006234,,,,,,20.0,20.0,,,,,,,
1,one_factor:elev_mask_deg,elev_mask_deg,20.0,1,2000,,,1,588.0,0.1669423596211227,1.603527965306797,10.434782608695652,8.0,8.0,0.0,0.0,0.0,0.0,98.07009300000209,,,,,,20.0,20.0,,,,,,,
1,one_factor:elev_mask_deg,elev_mask_deg,20.0,1,3000,,,1,808.0,0.1756598328933231,1.2214657007459135,10.64516129032258,13.0,13.0,0.0,0.0,0.0,0.0,184.5705218000221,,,,,,20.0,20.0,,,,,,,
1,one_factor:elev_mask_deg,elev_mask_deg,25.0,1,1000,,,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,26.15992569999071,,,,,,25.0,25.0,,,,,,,
1,one_factor:elev_mask_deg,elev_mask_deg,25.0,1,2000,,,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,75.35178539998014,,,,,,25.0,25.0,,,,,,,
1,one_factor:elev_mask_deg,elev_mask_deg,25.0,1,3000,,,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,149.3159254000202,,,,,,25.0,25.0,,,,,,,
1,one_factor:elev_mask_deg,elev_mask_deg,30.0,1,1000,,,1,377.0,0.12288170013924578,1.34796822117057,12.62135922330097,6.0,6.0,0.0,0.0,0.0,0.0,35.70928869997442,,,,,,30.0,30.0,,,,,,,
1,one_factor:elev_mask_deg,elev_mask_deg,30.0,1,2000,,,1,584.0,0.16041784034140544,1.776247306182254,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,88.47670800000196,,,,,,30.0,30.0,,,,,,,
1,one_factor:elev_mask_deg,elev_mask_deg,30.0,1,3000,,,1,797.0,0.17401250627671827,1.3263110179987834,7.741935483870968,9.0,9.0,0.0,0.0,0.0,0.0,79.8432019000029,,,,,,30.0,30.0,,,,,,,
1,one_factor:hotspot_scale,hotspot_scale,0.8,1,1000,,,1,357.0,0.12656187818057876,0.6115785987552694,10.679611650485437,5.0,5.0,0.0,0.0,0.0,0.0,21.737108200002695,,,,,,,,0.8,4000.0,24000.0,,,,
1,one_factor:hotspot_scale,hotspot_scale,0.8,1,2000,,,1,515.0,0.18544204585254997,2.112050748938524,7.826086956521739,8.0,8.0,0.0,0.0,0.0,0.0,55.51729499999783,,,,,,,,0.8,4000.0,24000.0,,,,
1,one_factor:hotspot_scale,hotspot_scale,0.8,1,3000,,,1,740.0,0.19384563573512428,2.701984000075519,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,173.66125200001989,,,,,,,,0.8,4000.0,24000.0,,,,
1,one_factor:hotspot_scale,hotspot_scale,1.0,1,1000,,,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,26.011269700029516,,,,,,,,1.0,5000.0,30000.0,,,,
1,one_factor:hotspot_scale,hotspot_scale,1.0,1,2000,,,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,76.43752289999975,,,,,,,,1.0,5000.0,30000.0,,,,
1,one_factor:hotspot_scale,hotspot_scale,1.0,1,3000,,,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,156.64259199998924,,,,,,,,1.0,5000.0,30000.0,,,,
1,one_factor:hotspot_scale,hotspot_scale,1.2,1,1000,,,1,407.0,0.11452186749592864,1.9992551555416407,8.737864077669903,6.0,6.0,0.0,0.0,0.0,0.0,38.767953500006115,,,,,,,,1.2,6000.0,36000.0,,,,
1,one_factor:hotspot_scale,hotspot_scale,1.2,1,2000,,,1,680.0,0.1396367155278655,1.225730314883707,8.26086956521739,9.0,9.0,0.0,0.0,0.0,0.0,118.67080719998921,,,,,,,,1.2,6000.0,36000.0,,,,
1,one_factor:hotspot_scale,hotspot_scale,1.2,1,3000,,,1,899.0,0.15953655870401143,1.2828814861834779,11.612903225806452,13.0,13.0,0.0,0.0,0.0,0.0,207.71835969999665,,,,,,,,1.2,6000.0,36000.0,,,,
1,one_factor:rho_safe,rho_safe,0.6,1,1000,,,1,366.0,0.12909841032434588,2.457307253067439,19.41747572815534,6.0,6.0,0.0,0.0,0.0,0.0,26.073692900012247,,,,,,,,,,,0.6,0.6,,
1,one_factor:rho_safe,rho_safe,0.6,1,2000,,,1,583.0,0.16289127755174562,1.200595193629372,18.695652173913043,8.0,8.0,0.0,0.0,0.0,0.0,82.97641459999431,,,,,,,,,,,0.6,0.6,,
1,one_factor:rho_safe,rho_safe,0.6,1,3000,,,1,836.0,0.17192144426267073,1.255390211490267,16.451612903225808,13.0,13.0,0.0,0.0,0.0,0.0,166.5516704000038,,,,,,,,,,,0.6,0.6,,
1,one_factor:rho_safe,rho_safe,0.7,1,1000,,,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,26.270220799997333,,,,,,,,,,,0.7,0.7,,
1,one_factor:rho_safe,rho_safe,0.7,1,2000,,,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,75.64269159999094,,,,,,,,,,,0.7,0.7,,
1,one_factor:rho_safe,rho_safe,0.7,1,3000,,,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,163.799267600014,,,,,,,,,,,0.7,0.7,,
1,one_factor:rho_safe,rho_safe,0.8,1,1000,,,1,366.0,0.12923271278506163,2.457307253067439,0.970873786407767,6.0,6.0,0.0,0.0,0.0,0.0,28.161414499991224,,,,,,,,,,,0.8,0.8,,
1,one_factor:rho_safe,rho_safe,0.8,1,2000,,,1,583.0,0.16325775062239115,1.2078038709737131,3.4782608695652173,8.0,8.0,0.0,0.0,0.0,0.0,73.77972350001801,,,,,,,,,,,0.8,0.8,,
1,one_factor:rho_safe,rho_safe,0.8,1,3000,,,1,836.0,0.1721997065962064,1.255390211490267,4.516129032258065,13.0,13.0,0.0,0.0,0.0,0.0,144.24566299999424,,,,,,,,,,,0.8,0.8,,
1,one_factor:theta_3db_deg,theta_3db_deg,0.9,1,1000,,,1,404.0,0.11648213927410951,2.8289746431459863,11.650485436893204,6.0,6.0,0.0,0.0,0.0,0.0,37.09864579999703,,,,,,,,,,,,,0.9,0.9
1,one_factor:theta_3db_deg,theta_3db_deg,0.9,1,2000,,,1,628.0,0.1515092078669598,1.12158696673343,12.608695652173912,8.0,8.0,0.0,0.0,0.0,0.0,118.22300609998638,,,,,,,,,,,,,0.9,0.9
1,one_factor:theta_3db_deg,theta_3db_deg,0.9,1,3000,,,1,899.0,0.15982889056800514,1.2797786905156492,11.290322580645162,13.0,13.0,0.0,0.0,0.0,0.0,211.81873940004152,,,,,,,,,,,,,0.9,0.9
1,one_factor:theta_3db_deg,theta_3db_deg,1.0,1,1000,,,1,366.0,0.12923271278506163,2.457307253067439,9.70873786407767,6.0,6.0,0.0,0.0,0.0,0.0,27.64505999998073,,,,,,,,,,,,,1.0,1.0
1,one_factor:theta_3db_deg,theta_3db_deg,1.0,1,2000,,,1,583.0,0.1631978869259674,1.200595193629372,10.869565217391305,8.0,8.0,0.0,0.0,0.0,0.0,76.74059200001648,,,,,,,,,,,,,1.0,1.0
1,one_factor:theta_3db_deg,theta_3db_deg,1.0,1,3000,,,1,836.0,0.17206202604773102,1.255390211490267,9.35483870967742,13.0,13.0,0.0,0.0,0.0,0.0,150.75619309996546,,,,,,,,,,,,,1.0,1.0
1,one_factor:theta_3db_deg,theta_3db_deg,1.1,1,1000,,,1,354.0,0.131811108090442,2.296656285914715,8.737864077669903,6.0,6.0,0.0,0.0,0.0,0.0,27.24033340004098,,,,,,,,,,,,,1.1,1.1
1,one_factor:theta_3db_deg,theta_3db_deg,1.1,1,2000,,,1,550.0,0.17386868828112714,1.523989091085753,7.391304347826087,8.0,8.0,0.0,0.0,0.0,0.0,75.66982780001126,,,,,,,,,,,,,1.1,1.1
1,one_factor:theta_3db_deg,theta_3db_deg,1.1,1,3000,,,1,745.0,0.1894842427847548,1.938196188858847,6.451612903225806,12.0,12.0,0.0,0.0,0.0,0.0,151.8741388000053,,,,,,,,,,,,,1.1,1.1
