ok,seed,n_users,total_sats,n_planes,sats_per_plane,snapshot_time_utc_iso,payload_feasible,K,U_mean,U_max,ent_edge_pct,best_m,ms_n_active,payload_n_viol_K,payload_n_viol_T,payload_K_over_sum,payload_T_over_sum,runtime_total_s
1,1,1000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,30.0,3.999424480163249,
1,2,1000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,18.0,11.387586576256957,
1,3,1000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,0.0,1.0,0.0,4.710019001297422,
1,4,1000,72,6,12,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,1.0,1.0,38.0,13.508928052489345,
1,5,1000,72,6,12,2026-01-01T00:00:00Z,1,146.0,0.29806361371834317,3.09130585345964,3.9215686274509802,2.0,2.0,0.0,0.0,0.0,0.0,0.21188780000375118
1,1,2000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,33.80327268029423,
1,2,2000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,45.229659430818515,
1,3,2000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,44.0,36.6500318148355,
1,4,2000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,129.0,64.92884091183777,
1,5,2000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,50.0,32.024063069370165,
1,1,3000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,167.0,64.02420839189155,
1,2,3000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,142.0,80.40170199597924,
1,3,3000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,97.0,72.63506330474446,
1,4,3000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,187.0,113.1765627123284,
1,5,3000,72,6,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,107.0,68.00600907738524,
1,1,1000,72,8,9,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,0.0,1.0,0.0,0.9673036858813298,
1,2,1000,72,8,9,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,0.0,1.0,0.0,2.876787683305004,
1,3,1000,72,8,9,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,0.0,1.0,0.0,2.352957547861724,
1,4,1000,72,8,9,2026-01-01T00:00:00Z,1,30.0,0.291687542241526,1.6769416186211004,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06810150000455906
1,5,1000,72,8,9,2026-01-01T00:00:00Z,1,53.0,0.26888381451538707,0.8591200464777429,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04661879999912344
1,1,2000,72,8,9,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,1.0,1.0,19.0,21.47771188185036,
1,2,2000,72,8,9,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,0.0,1.0,0.0,31.334859812298667,
1,3,2000,72,8,9,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,16.0,32.87062208843155,
1,4,2000,72,8,9,2026-01-01T00:00:00Z,1,68.0,0.28009839335529557,1.7975924503106633,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12447350000002189
1,5,2000,72,8,9,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,0.0,1.0,0.0,3.871401337172429,
1,1,3000,72,8,9,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,55.0,49.826165472658275,
1,2,3000,72,8,9,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,22.0,57.5897433876485,
1,3,3000,72,8,9,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,43.0,61.22888844905239,
1,4,3000,72,8,9,2026-01-01T00:00:00Z,1,88.0,0.2669917288156865,2.3641716699591533,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2414645999961067
1,5,3000,72,8,9,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,12.0,16.01114638238564,
1,1,1000,72,12,6,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,1.0,1.0,30.0,3.999424480163249,
1,2,1000,72,12,6,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,1.0,1.0,18.0,11.387586576256957,
1,3,1000,72,12,6,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,0.0,1.0,0.0,4.710019001297422,
1,4,1000,72,12,6,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,1.0,1.0,51.0,20.44688319684944,
1,5,1000,72,12,6,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,0.0,1.0,0.0,2.1382706823409805,
1,1,2000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,33.80327268029423,
1,2,2000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,45.229659430818515,
1,3,2000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,44.0,36.6500318148355,
1,4,2000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,129.0,64.92884091183777,
1,5,2000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,50.0,32.024063069370165,
1,1,3000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,167.0,64.02420839189155,
1,2,3000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,142.0,80.40170199597924,
1,3,3000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,97.0,72.63506330474446,
1,4,3000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,187.0,113.1765627123284,
1,5,3000,72,12,6,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,107.0,68.00600907738524,
1,1,1000,96,6,16,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,23.0,4.883866393249118,
1,2,1000,96,6,16,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,1.0,11.771793062340954,
1,3,1000,96,6,16,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,2.0,40.0,9.520400619937757,
1,4,1000,96,6,16,2026-01-01T00:00:00Z,1,176.0,0.2498340085665631,1.9305644668514388,4.615384615384615,3.0,3.0,0.0,0.0,0.0,0.0,1.3858981000012136
1,5,1000,96,6,16,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,21.0,8.55737278288482,
1,1,2000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,247.0,67.84184030073678,
1,2,2000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,196.0,93.19992956183353,
1,3,2000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,249.0,84.44193843603247,
1,4,2000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,179.0,65.20525110535351,
1,5,2000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,229.0,87.41802983410611,
1,1,3000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,341.0,113.07370064190826,
1,2,3000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,302.0,152.19971504532683,
1,3,3000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,341.0,144.03533440332055,
1,4,3000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,246.0,101.40806148190133,
1,5,3000,96,6,16,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,300.0,131.7304471822839,
1,1,1000,96,8,12,2026-01-01T00:00:00Z,1,157.0,0.23672718468331766,1.425993350162625,6.382978723404255,2.0,2.0,0.0,0.0,0.0,0.0,0.382291299993085
1,2,1000,96,8,12,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,0.0,2.0,0.0,12.30475325702125,
1,3,1000,96,8,12,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,0.0,1.0,0.0,4.710019001297422,
1,4,1000,96,8,12,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,2.0,30.0,17.806480744586743,
1,5,1000,96,8,12,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,6.0,11.778329209509025,
1,1,2000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,33.80327268029423,
1,2,2000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,45.229659430818515,
1,3,2000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,44.0,36.6500318148355,
1,4,2000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,129.0,64.92884091183777,
1,5,2000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,50.0,32.024063069370165,
1,1,3000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,167.0,64.02420839189155,
1,2,3000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,142.0,80.40170199597924,
1,3,3000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,97.0,72.63506330474446,
1,4,3000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,187.0,113.1765627123284,
1,5,3000,96,8,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,107.0,68.00600907738524,
1,1,1000,96,12,8,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,2.0,1.0,111.0,15.403996312888438,
1,2,1000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,84.0,35.967339743793005,
1,3,1000,96,12,8,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,102.0,22.053040141071996,
1,4,1000,96,12,8,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,2.0,2.0,75.0,22.61271600340704,
1,5,1000,96,12,8,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,1.0,1.0,79.0,28.446439260754858,
1,1,2000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,247.0,67.84184030073678,
1,2,2000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,196.0,93.19992956183353,
1,3,2000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,249.0,84.44193843603247,
1,4,2000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,179.0,65.20525110535351,
1,5,2000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,229.0,87.41802983410611,
1,1,3000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,341.0,113.07370064190826,
1,2,3000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,302.0,152.19971504532683,
1,3,3000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,341.0,144.03533440332055,
1,4,3000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,246.0,101.40806148190133,
1,5,3000,96,12,8,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,300.0,131.7304471822839,
1,1,1000,120,6,20,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,2.0,1.0,85.0,24.731540311775788,
1,2,1000,120,6,20,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,2.0,1.0,67.0,30.702261272429283,
1,3,1000,120,6,20,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,1.0,64.0,26.14621162276341,
1,4,1000,120,6,20,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,1.0,99.0,17.500562473314353,
1,5,1000,120,6,20,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,2.0,2.0,46.0,21.467464660492247,
1,1,2000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,311.0,85.96442738091864,
1,2,2000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,306.0,94.50152446593032,
1,3,2000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,272.0,79.78163355079121,
1,4,2000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,326.0,89.0722325146163,
1,5,2000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,257.0,66.20072295355367,
1,1,3000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,445.0,141.21086550886497,
1,2,3000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,397.0,144.23464002872558,
1,3,3000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,395.0,132.48073350813738,
1,4,3000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,450.0,143.00330281969462,
1,5,3000,120,6,20,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,374.0,111.92557851967427,
1,1,1000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,193.0,30.29516848050404,
1,2,1000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,158.0,39.10569960148417,
1,3,1000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,193.0,35.63985046520851,
1,4,1000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,148.0,33.01107947674286,
1,5,1000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,164.0,39.99166083123739,
1,1,2000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,334.0,85.92417116971893,
1,2,2000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,310.0,102.94305768792748,
1,3,2000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,337.0,99.59343533679069,
1,4,2000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,292.0,96.82134956801269,
1,5,2000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,325.0,104.78055116256465,
1,1,3000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,478.0,147.2016532315245,
1,2,3000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,466.0,165.9589028650974,
1,3,3000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,486.0,166.730588725118,
1,4,3000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,393.0,151.34428225177916,
1,5,3000,120,8,15,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,450.0,160.40472877597398,
1,1,1000,120,12,10,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,75.0,19.911407920295524,
1,2,1000,120,12,10,2026-01-01T00:00:00Z,1,138.0,0.31496928301090465,1.5188309768959147,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.3596447999989323
1,3,1000,120,12,10,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,2.0,28.0,2.790254776178891,
1,4,1000,120,12,10,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,0.0,1.0,0.0,1.6424157255740504,
1,5,1000,120,12,10,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,0.0,1.0,0.0,8.422734577223608,
1,1,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,149.0,66.21647087257081,
1,2,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,130.0,50.02116001938845,
1,3,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,227.0,66.7876915317734,
1,4,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,134.0,60.58539513090777,
1,5,2000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,202.0,76.44921959170742,
1,1,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,1.0,196.0,110.45410233152467,
1,2,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,233.0,82.49402600639385,
1,3,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,298.0,114.26069050104184,
1,4,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,182.0,95.60468942537179,
1,5,3000,120,12,10,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,264.0,110.18826695930582,
1,1,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,2.0,1.0,22.0,2.5626881218479767,
1,2,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,0.0,8.0,0.0,
1,3,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,1.0,10.0,0.020747265461665165,
1,4,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,1.0,12.0,4.226708925950099,
1,5,1000,144,6,24,2026-01-01T00:00:00Z,0,,,,,4.0,4.0,1.0,1.0,17.0,2.628869962177795,
1,1,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,247.0,67.84184030073678,
1,2,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,196.0,93.19992956183353,
1,3,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,249.0,84.44193843603247,
1,4,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,179.0,65.20525110535351,
1,5,2000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,229.0,87.41802983410611,
1,1,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,341.0,113.07370064190826,
1,2,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,302.0,152.19971504532683,
1,3,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,341.0,144.03533440332055,
1,4,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,246.0,101.40806148190133,
1,5,3000,144,6,24,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,300.0,131.7304471822839,
1,1,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,0.0,1.0,0.0,0.22618785599885882,
1,2,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,0.0,2.0,0.0,5.038264548212137,
1,3,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,0.0,1.0,0.0,3.738221461722322,
1,4,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,3.0,3.0,1.0,2.0,28.0,12.611970907152845,
1,5,1000,144,8,18,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,0.0,1.0,0.0,2.1382706823409805,
1,1,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,33.80327268029423,
1,2,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,45.229659430818515,
1,3,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,44.0,36.6500318148355,
1,4,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,129.0,64.92884091183777,
1,5,2000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,50.0,32.024063069370165,
1,1,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,167.0,64.02420839189155,
1,2,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,142.0,80.40170199597924,
1,3,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,97.0,72.63506330474446,
1,4,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,187.0,113.1765627123284,
1,5,3000,144,8,18,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,107.0,68.00600907738524,
1,1,1000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,30.0,3.999424480163249,
1,2,1000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,18.0,11.387586576256957,
1,3,1000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,0.0,1.0,0.0,4.710019001297422,
1,4,1000,144,12,12,2026-01-01T00:00:00Z,0,,,,,2.0,2.0,1.0,1.0,38.0,13.508928052489345,
1,5,1000,144,12,12,2026-01-01T00:00:00Z,1,146.0,0.29806361371834317,3.09130585345964,3.9215686274509802,2.0,2.0,0.0,0.0,0.0,0.0,0.2521454999987327
1,1,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,33.80327268029423,
1,2,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,93.0,45.229659430818515,
1,3,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,44.0,36.6500318148355,
1,4,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,129.0,64.92884091183777,
1,5,2000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,50.0,32.024063069370165,
1,1,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,167.0,64.02420839189155,
1,2,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,142.0,80.40170199597924,
1,3,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,97.0,72.63506330474446,
1,4,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,187.0,113.1765627123284,
1,5,3000,144,12,12,2026-01-01T00:00:00Z,0,,,,,1.0,1.0,1.0,1.0,107.0,68.00600907738524,
