total_sats,n_planes,sats_per_plane,n_users,ok_mean,ok_median,ok_std,ok_p10,ok_p90,ok_min,ok_max,ok_n,payload_feasible_mean,payload_feasible_median,payload_feasible_std,payload_feasible_p10,payload_feasible_p90,payload_feasible_min,payload_feasible_max,payload_feasible_n,K_mean,K_median,K_std,K_p10,K_p90,K_min,K_max,K_n,U_mean_mean,U_mean_median,U_mean_std,U_mean_p10,U_mean_p90,U_mean_min,U_mean_max,U_mean_n,U_max_mean,U_max_median,U_max_std,U_max_p10,U_max_p90,U_max_min,U_max_max,U_max_n,ent_edge_pct_mean,ent_edge_pct_median,ent_edge_pct_std,ent_edge_pct_p10,ent_edge_pct_p90,ent_edge_pct_min,ent_edge_pct_max,ent_edge_pct_n,best_m_mean,best_m_median,best_m_std,best_m_p10,best_m_p90,best_m_min,best_m_max,best_m_n,ms_n_active_mean,ms_n_active_median,ms_n_active_std,ms_n_active_p10,ms_n_active_p90,ms_n_active_min,ms_n_active_max,ms_n_active_n,payload_n_viol_K_mean,payload_n_viol_K_median,payload_n_viol_K_std,payload_n_viol_K_p10,payload_n_viol_K_p90,payload_n_viol_K_min,payload_n_viol_K_max,payload_n_viol_K_n,payload_n_viol_T_mean,payload_n_viol_T_median,payload_n_viol_T_std,payload_n_viol_T_p10,payload_n_viol_T_p90,payload_n_viol_T_min,payload_n_viol_T_max,payload_n_viol_T_n,payload_K_over_sum_mean,payload_K_over_sum_median,payload_K_over_sum_std,payload_K_over_sum_p10,payload_K_over_sum_p90,payload_K_over_sum_min,payload_K_over_sum_max,payload_K_over_sum_n,payload_T_over_sum_mean,payload_T_over_sum_median,payload_T_over_sum_std,payload_T_over_sum_p10,payload_T_over_sum_p90,payload_T_over_sum_min,payload_T_over_sum_max,payload_T_over_sum_n,runtime_total_s_mean,runtime_total_s_median,runtime_total_s_std,runtime_total_s_p10,runtime_total_s_p90,runtime_total_s_min,runtime_total_s_max,runtime_total_s_n
72,6,12,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.15,0.0,0.35707142142714243,0.0,1.0,0.0,1.0,20,94.33333333333333,72.0,36.64544840616483,66.4,131.2,65.0,146.0,3,0.26299898149096973,0.2544962759030442,0.025867356406323556,0.24004889906182636,0.28935014615528337,0.2364370548515219,0.29806361371834317,3,1.9728887252090044,1.591054951498321,0.8039919032958539,1.307255286834906,2.7912556730673765,1.2363053706690523,3.09130585345964,3,3.2679738562091507,3.9215686274509802,2.445527703773818,0.7843137254901961,5.490196078431373,0.0,5.882352941176471,3,1.2,1.0,0.4,1.0,2.0,1.0,2.0,20,1.2,1.0,0.4,1.0,2.0,1.0,2.0,20,0.65,1.0,0.4769696007084728,0.0,1.0,0.0,1.0,20,0.85,1.0,0.3570714214271425,0.0,1.0,0.0,1.0,20,12.5,9.5,13.204166009256321,0.0,32.60000000000001,0.0,38.0,20,9.836698684718657,9.163505517189087,7.735082169267662,0.0,21.72328503753698,0.0,24.189812714743617,20,0.13738290000037523,0.100705899996683,0.05268501517563276,0.09978517999988981,0.18965142000233756,0.09955500000069151,0.21188780000375118,3
72,6,12,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,73.3,67.0,34.95868990680285,40.1,115.50000000000003,9.0,150.0,20,47.15395717121894,45.20887106561598,18.394024905233472,30.221439506890928,72.27070400315758,11.616176519003623,76.92323192523233,20,,,,,,,,0
72,6,12,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,122.1,110.5,40.61391387197249,82.0,178.9,61.0,212.0,20,82.40732780543071,76.800124536536,28.515001738832215,59.64492159012584,123.9306370719726,25.404498972889385,125.80470539398141,20,,,,,,,,0
72,8,9,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.65,1.0,0.4769696007084729,0.0,1.0,0.0,1.0,20,41.0,32.5,38.30469945058961,13.200000000000001,77.89999999999998,9.0,136.0,8,0.27459042752576435,0.2759264005775483,0.16902791128429792,0.09372435527783954,0.5130838795562775,0.09353448592337285,0.5725926928552686,8,0.8761588142460024,0.924031940265347,0.5119813438765112,0.26866796948626503,1.445053529683405,0.2353158099439277,1.6769416186211004,8,12.127164502164504,3.0,21.226886915933004,0.0,29.545454545454536,0.0,66.66666666666667,8,1.35,1.0,0.4769696007084729,1.0,2.0,1.0,2.0,20,1.35,1.0,0.4769696007084729,1.0,2.0,1.0,2.0,20,0.15,0.0,0.3570714214271425,0.0,1.0,0.0,1.0,20,0.35,0.0,0.4769696007084729,0.0,1.0,0.0,1.0,20,6.9,0.0,26.299999999999997,0.0,8.100000000000001,0.0,121.0,20,2.6482917758644158,0.0,6.304523764572673,0.0,7.850006319184314,0.0,26.910070752529876,20,0.07977549230865687,0.027182499998161802,0.12795103224353752,0.02063975999917602,0.11856014000004508,0.02006650000475929,0.5080803000018932,13
72,8,9,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.45,0.0,0.49749371855331,0.0,1.0,0.0,1.0,20,33.25,23.5,20.191272867256288,19.5,54.80000000000001,18.0,68.0,4,0.1511832668372835,0.11503284403149483,0.07492475606842942,0.09983650261838962,0.2314503693008083,0.09456898593084875,0.28009839335529557,4,0.7249452228030082,0.4340815348814752,0.6248875271078346,0.2868174478807801,1.3957639480624628,0.2340253711384191,1.7975924503106633,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.05,1.0,0.2179449471770338,1.0,1.0,1.0,2.0,20,1.05,1.0,0.2179449471770338,1.0,1.0,1.0,2.0,20,0.35,0.0,0.4769696007084729,0.0,1.0,0.0,1.0,20,0.55,1.0,0.49749371855331,0.0,1.0,0.0,1.0,20,48.85,0.0,82.54227704637182,0.0,182.30000000000004,0.0,238.0,20,21.259417876662035,6.362557521161925,27.234424917252895,0.0,75.1825935085206,0.0,78.44729786005877,20,0.04691265555730853,0.033675500002573244,0.028109431975187033,0.03156472000409849,0.06438277999841377,0.030422800002270378,0.12447350000002189,9
72,8,9,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.45,0.0,0.49749371855331,0.0,1.0,0.0,1.0,20,41.0,26.5,27.193749281774295,23.6,70.00000000000001,23.0,88.0,4,0.17084679608331677,0.14761692261846882,0.058661382951279525,0.12248148115095657,0.23779600978755538,0.121161610280643,0.2669917288156865,4,0.8828777178962056,0.4594027599663352,0.8642932298971289,0.27341964375514594,1.831115758381162,0.2485336816929989,2.3641716699591533,4,27.083333333333336,29.166666666666668,18.042195912175806,7.500000000000001,45.0,0.0,50.0,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.45,0.0,0.4974937185533101,0.0,1.0,0.0,1.0,20,0.55,1.0,0.49749371855331,0.0,1.0,0.0,1.0,20,77.6,0.0,121.9390831522035,0.0,288.80000000000007,0.0,336.0,20,38.68237866881347,20.146369034056026,45.75598893249329,0.0,123.83149161570074,0.0,132.4166298629144,20,0.07597599999886977,0.06247879999864381,0.0594499797335501,0.04308476000005612,0.10654788000101692,0.0422201999972458,0.2414645999961067,9
72,12,6,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.65,2.0,0.4769696007084729,1.0,2.0,1.0,2.0,20,1.65,2.0,0.4769696007084729,1.0,2.0,1.0,2.0,20,0.9,1.0,0.30000000000000004,0.9000000000000001,1.0,0.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,76.55,50.5,69.5316294933464,16.200000000000003,185.60000000000002,0.0,217.0,20,23.11919722750458,22.613609244605456,12.747408703975383,4.638959549184005,39.25354665745946,2.1382706823409805,44.02210062557229,20,,,,,,,,0
72,12,6,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.3,1.0,0.4582575694955839,1.0,2.0,1.0,2.0,20,1.3,1.0,0.4582575694955839,1.0,2.0,1.0,2.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,175.45,136.0,107.1314496308157,88.7,355.0,44.0,366.0,20,71.39401386477394,69.79352801870624,25.298527882367132,36.36535590138137,103.49043066665827,32.024063069370165,114.33870695798649,20,,,,,,,,0
72,12,6,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.25,1.0,0.4330127018922193,1.0,2.0,1.0,2.0,20,1.25,1.0,0.4330127018922193,1.0,2.0,1.0,2.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,260.95,197.5,140.97357021796674,138.5,492.3,97.0,514.0,20,119.80991105446597,122.2411741139657,35.81612786199914,72.17215788200855,164.95137470620364,64.02420839189155,175.62654439890792,20,,,,,,,,0
96,6,16,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.45,0.0,0.49749371855331004,0.0,1.0,0.0,1.0,20,91.28571428571429,78.0,43.34154814861102,48.4,149.0,46.0,176.0,7,0.29546046429803735,0.2754575049626533,0.06019613492567539,0.24061517063208462,0.3711664380088961,0.2267869137303669,0.41636503716499085,7,1.9536276475181562,1.9305644668514388,0.8285215416540482,0.9745018909223708,2.9690935838714996,0.7188965150239843,3.21753442420981,7,9.8012336811922,9.523809523809524,3.6376387171099145,5.984084880636605,13.325123152709363,4.615384615384615,17.24137931034483,7,2.15,2.0,0.8529361054615991,1.0,3.0,1.0,3.0,20,2.15,2.0,0.8529361054615991,1.0,3.0,1.0,3.0,20,0.45,0.0,0.4974937185533101,0.0,1.0,0.0,1.0,20,0.6,1.0,0.5830951894845301,0.0,1.0,0.0,2.0,20,10.45,0.0,17.545583489870037,0.0,39.1,0.0,62.0,20,4.103670009166359,1.8705222054668713,5.245176284333095,0.0,9.74553986417808,0.0,19.912728184537748,20,0.37520927142967203,0.1554305999998178,0.4398507667362708,0.08889072000019951,0.8908097800005638,0.08549309999943944,1.3858981000012136,7
96,6,16,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.3,1.0,0.6403124237432848,1.0,2.1000000000000014,1.0,3.0,20,1.3,1.0,0.6403124237432848,1.0,2.1000000000000014,1.0,3.0,20,0.85,1.0,0.3570714214271425,0.0,1.0,0.0,1.0,20,1.1,1.0,0.3,1.0,1.1000000000000014,1.0,2.0,20,91.05,60.0,84.52483362894007,0.0,230.8,0.0,249.0,20,45.38540410933125,37.56084880642058,24.71442525766718,19.40023060972417,84.73954757583984,12.878053076994874,93.19992956183353,20,,,,,,,,0
96,6,16,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,149.45,116.0,104.54256310230777,38.7,305.90000000000003,13.0,341.0,20,79.83771500051361,69.0841209072735,37.62136543507226,33.94830371968405,132.96093590438758,29.40175820711317,152.19971504532683,20,,,,,,,,0
96,8,12,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.15,0.0,0.35707142142714243,0.0,1.0,0.0,1.0,20,159.0,158.0,2.160246899469287,157.2,161.2,157.0,162.0,3,0.2285629940358124,0.22956991455720407,0.0071128329550064675,0.22142748920497318,0.23529573065809495,0.21939188286691547,0.23672718468331766,3,1.3404246881739403,1.425993350162625,0.13741833939178316,1.2024230326317829,1.4441988789206235,1.1465304532490723,1.448750261110123,3,7.200123342584027,6.382978723404255,2.724465001653462,4.754856614246068,9.972247918593895,4.3478260869565215,10.869565217391305,3,2.85,3.0,0.3570714214271425,2.0,3.0,2.0,3.0,20,2.85,3.0,0.3570714214271425,2.0,3.0,2.0,3.0,20,0.75,1.0,0.5361902647381804,0.0,1.0,0.0,2.0,20,1.45,2.0,0.8046738469715542,0.0,2.0,0.0,2.0,20,11.7,6.0,12.961867149450343,0.0,29.1,0.0,44.0,20,9.944429847801372,12.041541233265137,6.733083700069288,0.0,17.263171580874683,0.0,21.60015450232838,20,0.37979256666464306,0.382291299993085,0.03873221624485791,0.3413826599957247,0.41720298000218464,0.3311554999963846,0.42593090000445955,3
96,8,12,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,94.55,98.5,33.826727598158236,50.0,141.0,44.0,154.0,20,44.694956766697544,39.93371112354208,12.855979611451533,33.08157066066768,67.24019929352616,32.024063069370165,70.96747797339262,20,,,,,,,,0
96,8,12,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,153.65,157.5,34.2553280527278,106.6,193.10000000000002,97.0,214.0,20,82.74529283057622,75.87544101388808,20.125636978484273,63.17420851236723,120.0740239798411,62.91515002943973,124.93358945540135,20,,,,,,,,0
96,12,8,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,2.25,3.0,0.9420721840708386,1.0,3.0,1.0,3.0,20,2.25,3.0,0.9420721840708386,1.0,3.0,1.0,3.0,20,1.3,1.0,0.45825756949558394,1.0,2.0,1.0,2.0,20,1.15,1.0,0.3570714214271425,1.0,2.0,1.0,2.0,20,95.85,94.0,32.28664584623184,69.5,137.90000000000003,34.0,178.0,20,18.990129295591004,17.7204082323104,11.547468377953477,5.610247873485488,36.05567385461641,1.7321698016990794,39.5743320376949,20,,,,,,,,0
96,12,8,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,289.95,308.0,64.09951247864527,195.6,359.7,179.0,369.0,20,91.55618301691752,96.34771812431212,15.661950019682484,67.57818138119845,107.5735886661743,60.19087007537138,115.6793609102771,20,,,,,,,,0
96,12,8,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,401.85,415.0,84.78400497735407,298.6,496.0,246.0,518.0,20,147.6285432851637,155.71256892578361,22.7229286731892,112.17564352089235,169.9099408206239,101.40806148190133,176.77118838438213,20,,,,,,,,0
120,6,20,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.2,0.0,0.4,0.0,1.0,0.0,1.0,20,24.25,20.0,7.980444849756184,19.0,32.900000000000006,19.0,38.0,4,0.2689793059319893,0.2498788037068601,0.17954213479553802,0.09094937985742768,0.4622896337866543,0.08983882477217874,0.4863207915420582,4,1.9181464216552908,0.7733308456334342,2.288580275420917,0.3028552463982526,4.449290057729815,0.2985427673736209,5.827381227980673,4,17.261904761904763,9.523809523809524,20.438434182606425,0.0,40.71428571428572,0.0,50.0,4,2.3,2.0,1.1445523142259597,1.0,4.0,1.0,4.0,20,2.3,2.0,1.1445523142259597,1.0,4.0,1.0,4.0,20,1.15,1.0,0.7921489758877429,0.0,2.0,0.0,2.0,20,0.95,1.0,0.5894913061275798,0.0,2.0,0.0,2.0,20,48.65,54.0,34.104655107477626,0.0,87.70000000000002,0.0,99.0,20,14.727022248066785,13.494420656788783,11.42947643533618,0.0,30.596578306427595,0.0,34.75324918590648,20,0.07698277499730466,0.0397758499984775,0.06810400098655693,0.0353439599963167,0.14838712999735437,0.03352019999510958,0.19485919999715406,4
120,6,20,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.15,0.0,0.3570714214271425,0.0,1.0,0.0,1.0,20,35.0,33.0,4.320493798938574,31.4,39.4,31.0,41.0,3,0.26749449732917546,0.15696431568271627,0.16244324503278995,0.15007213713572332,0.42912893018121123,0.14834909249897507,0.497170083805835,3,1.9442782227534885,0.899622741731573,1.689650780138995,0.6642846959707446,3.6421339419449996,0.6054501845305374,4.327761741998356,3,13.333333333333334,0.0,18.856180831641264,0.0,32.0,0.0,40.0,3,1.15,1.0,0.47696960070847283,1.0,1.1000000000000014,1.0,3.0,20,1.15,1.0,0.47696960070847283,1.0,1.1000000000000014,1.0,3.0,20,0.8,1.0,0.4,0.0,1.0,0.0,1.0,20,0.9,1.0,0.43588989435406733,0.0,1.0,0.0,2.0,20,188.75,220.5,128.5359385541647,0.0,326.0,0.0,342.0,20,64.2136288013576,81.34121325956158,35.52600230624318,0.0,99.1109876400007,0.0,103.48330622471688,20,0.06252306666525935,0.06393109999771696,0.004856109946667497,0.05758453999878839,0.06689837999874726,0.055997899999056244,0.06764019999900484,3
120,6,20,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.1,0.0,0.30000000000000004,0.0,0.10000000000000142,0.0,1.0,20,43.0,43.0,5.0,39.0,47.0,38.0,48.0,2,0.12408350475528253,0.12408350475528253,0.003518857752585716,0.12126841855321395,0.1268985909573511,0.12056464700269681,0.12760236250786824,2,0.4694254970130368,0.4694254970130368,0.13692890392057777,0.3598823738765746,0.578968620149499,0.33249659309245905,0.6063544009336146,2,8.333333333333334,8.333333333333334,8.333333333333334,1.666666666666667,15.000000000000002,0.0,16.666666666666668,2,1.05,1.0,0.21794494717703378,1.0,1.0,1.0,2.0,20,1.05,1.0,0.21794494717703378,1.0,1.0,1.0,2.0,20,0.75,1.0,0.4330127018922193,0.0,1.0,0.0,1.0,20,0.9,1.0,0.3,0.9000000000000001,1.0,0.0,1.0,20,268.5,325.5,176.10919907829916,0.0,447.3,0.0,477.0,20,106.1310821775244,134.18341907563126,56.06602937127365,5.169753850586048,160.56376649107662,0.0,166.77869704625243,20,0.0758250999970187,0.0758250999970187,0.011953699999139644,0.06626213999770698,0.08538805999633041,0.06387139999787905,0.08777879999615834,2
120,8,15,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.3,0.0,0.45825756949558394,0.0,1.0,0.0,1.0,20,105.16666666666667,109.0,30.580040694689874,69.0,137.5,62.0,149.0,6,0.2833823834735196,0.2809651888251716,0.046806600454045895,0.2329596135292476,0.33622234806613954,0.20218813945772163,0.35265168789000284,6,1.5672523646806935,1.4631043597325601,0.6109395654406248,0.963024441288562,2.2756282930209584,0.809051979743847,2.729071868631613,6,12.3408618018035,10.597826086956522,5.369247531782157,7.221860767729343,19.20289855072464,6.896551724137931,21.73913043478261,6,2.0,2.0,1.0,1.0,3.0,1.0,3.0,20,2.0,2.0,1.0,1.0,3.0,1.0,3.0,20,0.8,1.0,0.6000000000000001,0.0,1.1000000000000014,0.0,2.0,20,0.85,1.0,0.7262919523166975,0.0,2.0,0.0,2.0,20,84.0,63.5,79.73518671201566,0.0,184.0,0.0,193.0,20,17.824402420878208,11.549096801407046,17.11729410882819,0.0,40.032190987571525,0.0,45.24205073478332,20,0.34807471666499623,0.4004282999994757,0.18464272748129726,0.10906204999628244,0.5347337999992305,0.10704289999557659,0.5918041999975685,6
120,8,15,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.1,0.0,0.30000000000000004,0.0,0.10000000000000142,0.0,1.0,20,166.0,166.0,0.0,166.0,166.0,166.0,166.0,1,0.249731861020744,0.249731861020744,0.0,0.249731861020744,0.249731861020744,0.249731861020744,0.249731861020744,1,1.1361307872337343,1.1361307872337343,0.0,1.1361307872337343,1.1361307872337343,1.1361307872337343,1.1361307872337343,1,5.769230769230769,5.769230769230769,0.0,5.769230769230769,5.769230769230769,5.769230769230769,5.769230769230769,1,1.5,1.0,0.8660254037844386,1.0,3.0,1.0,3.0,20,1.5,1.0,0.8660254037844386,1.0,3.0,1.0,3.0,20,0.85,1.0,0.3570714214271425,0.0,1.0,0.0,1.0,20,0.95,1.0,0.3840572873934304,0.9000000000000001,1.0,0.0,2.0,20,220.1,274.5,135.94112696310856,0.0,344.5,0.0,366.0,20,68.1753581020028,82.03203129993258,40.696034547799165,1.9967088948652592,105.26443631871017,0.0,116.17124820485003,20,2.460820299998886,2.460820299998886,0.0,2.460820299998886,2.460820299998886,2.460820299998886,2.460820299998886,1
120,8,15,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.2,1.0,0.6,1.0,1.2000000000000028,1.0,3.0,20,1.2,1.0,0.6,1.0,1.2000000000000028,1.0,3.0,20,0.95,1.0,0.2179449471770337,1.0,1.0,0.0,1.0,20,1.1,1.0,0.3,1.0,1.1000000000000014,1.0,2.0,20,325.1,367.0,166.92869735309145,75.00000000000001,486.3,0.0,490.0,20,121.23995702249604,138.7001083881039,49.76702315837338,52.81311707883561,167.2811023549595,11.661942052818581,177.25554270197821,20,,,,,,,,0
